name,category,is_chronic,base_price,default_cycle_days,image_url
santabiota oral drops 15 ml,جهاز هضمي,False,65.0,15,https://cdn.dawaagate.com/images/medicines/santabiota-oral-drops-15-ml-287-454ff1.webp
royal ginger 12 filter bags,جهاز هضمي,False,12.0,15,https://cdn.dawaagate.com/images/medicines/royal-ginger-12-filter-bags-318-d1bb41.webp
rennie 24 chew. tab,جهاز هضمي,False,36.0,15,https://cdn.dawaagate.com/images/medicines/rennie-24-chew-tab-365-a144c9.webp
racecasec 100 mg 10 caps,جهاز هضمي,False,27.0,15,https://cdn.dawaagate.com/images/medicines/racecasec-100-mg-10-caps-381-b27961.webp
potenzym 20 tablets,جهاز هضمي,False,99.9,15,https://cdn.dawaagate.com/images/medicines/potenzym-20-tablets-412-bcb030.webp
pantomedra 40 mg 28 e.c. tabs,جهاز هضمي,False,145.0,15,https://cdn.dawaagate.com/images/medicines/pantomedra-40-mg-28-ec-tabs-448-d448f5.webp
pangestazol 40mg 28 tabs,جهاز هضمي,False,102.0,15,https://cdn.dawaagate.com/images/medicines/pangestazol-40mg-28-tabs-451-3c5017.webp
zma 90 veg. caps. (now),فيتامينات,False,1800.0,30,https://cdn.dawaagate.com/images/medicines/zma-90-veg-caps-now-4.webp
zinobacilly oral drops 10 ml,فيتامينات,False,125.0,30,https://cdn.dawaagate.com/images/medicines/zinobacilly-oral-drops-10-ml-5-3452f4.webp
zinc acid 20 tabs,فيتامينات,False,45.0,30,https://www.google.com/search?q=Zinc%20acid%2020%20tabs%20Egypt%20pharmacy&tbm=isch
zamcillus probiotic drops 10 ml,فيتامينات,False,65.0,30,https://cdn.dawaagate.com/images/medicines/zamcillus-probiotic-drops-10-ml-11-52ea55.webp
zakio 120 ml syrup,فيتامينات,False,35.0,30,https://www.google.com/search?q=Zakio%20120%20ml%20syrup%20Egypt%20pharmacy&tbm=isch
ximalact 250 mg 30 caps,فيتامينات,False,750.0,30,https://cdn.dawaagate.com/images/medicines/ximalact-250-mg-30-caps-16-6cf9e5.webp
whey protein powder 900 gm 30 serve,فيتامينات,False,765.0,30,https://cdn.dawaagate.com/images/medicines/whey-protein-powder-900-gm-30-serve-24-40f26f.webp
whey protein powder 420 gm 14 serve,فيتامينات,False,345.0,30,https://www.google.com/search?q=Whey%20protein%20powder%20420%20gm%2014%20serve%20Egypt%20pharmacy&tbm=isch
whey protein powder 2100 gm 70 serve,فيتامينات,False,1100.0,30,https://cdn.dawaagate.com/images/medicines/whey-protein-powder-2100-gm-70-serve-26-460d5d.webp
whey protein isolate powder vanilla 816 gm (1.8 lbs) (now),فيتامينات,False,1700.0,30,https://cdn.dawaagate.com/images/medicines/whey-protein-isolate-powder-vanilla-816-gm-18-lbs-now-27-5155b4.webp
whey protein isolate powder chocolate 816 gm (1.8 lbs) (now),فيتامينات,False,1700.0,30,https://cdn.dawaagate.com/images/medicines/whey-protein-isolate-powder-chocolate-816-gm-18-lbs-now-28-6836f4.webp
whey protein isolate powder 544 gm (1.2 lbs) (now),فيتامينات,False,1000.0,30,https://cdn.dawaagate.com/images/medicines/whey-protein-isolate-powder-544-gm-12-lbs-now-29-8be3a6.webp
centravita solvo plus 20 tablets,نزلات برد,False,86.0,10,https://www.google.com/search?q=Centravita%20Solvo%20Plus%2020%20tablets%20Egypt%20pharmacy&tbm=isch
valulit syrup 120ml,نزلات برد,False,59.0,10,https://cdn.dawaagate.com/images/medicines/valulit-syrup-120ml-90-3545d8.webp
tussin syrup 100 ml,نزلات برد,False,9.5,10,https://cdn.dawaagate.com/images/medicines/tussin-syrup-100-ml-112-67a9a0.webp
topaken syrup 100 ml,نزلات برد,False,85.0,10,https://cdn.dawaagate.com/images/medicines/topaken-syrup-100-ml-124-f75058.webp
stopadol cold & flu 20 caps,نزلات برد,False,33.0,10,https://cdn.dawaagate.com/images/medicines/stopadol-cold-flu-20-caps-195-4f5010.webp
respovan 120 ml syrup,نزلات برد,False,60.0,10,https://cdn.dawaagate.com/images/medicines/respovan-120-ml-syrup-363-5420d8.webp
mave tec syrup 120 ml,نزلات برد,False,37.0,10,https://www.google.com/search?q=Mave%20Tec%20syrup%20120%20ml%20Egypt%20pharmacy&tbm=isch
linkocetamol 10 sachets pwd. for oral susp,نزلات برد,False,25.0,10,https://www.google.com/search?q=Linkocetamol%2010%20sachets%20pwd.%20for%20oral%20susp%20Egypt%20pharmacy&tbm=isch
krota 120ml syrup,نزلات برد,False,40.0,10,https://www.google.com/search?q=Krota%20120ml%20syrup%20Egypt%20pharmacy&tbm=isch
ivyroegy syrup 120ml,نزلات برد,False,59.0,10,https://www.google.com/search?q=Ivyroegy%20syrup%20120ml%20Egypt%20pharmacy&tbm=isch
ivymune syrup 120 ml,نزلات برد,False,59.0,10,https://www.google.com/search?q=Ivymune%20syrup%20120%20ml%20Egypt%20pharmacy&tbm=isch
histonic syrup 120 ml,نزلات برد,False,39.0,10,https://cdn.dawaagate.com/images/medicines/histonic-syrup-120-ml-797-5c96e1.webp
ramatrizine 5 mg 30 f.c.tabs,حساسية,False,63.0,20,https://www.google.com/search?q=Ramatrizine%205%20mg%2030%20f.c.tabs%20Egypt%20pharmacy&tbm=isch
hisatrup 1mg/ml syrup 120 ml,حساسية,False,28.0,20,https://cdn.dawaagate.com/images/medicines/hisatrup-1mgml-syrup-120-ml-798-bbc397.webp
elballerge 30mg/5ml susp. 100 ml,حساسية,False,22.0,20,https://cdn.dawaagate.com/images/medicines/elballerge-30mg5ml-susp-100-ml-948-1f901a.webp
badotirizin 5mg/5ml syrup 125ml,حساسية,False,17.5,20,https://cdn.dawaagate.com/images/medicines/badotirizin-5mg5ml-syrup-125ml-1197-e5c45a.webp
astin 20 mg 20 f.c.tabs,حساسية,False,28.8,20,https://cdn.dawaagate.com/images/medicines/astin-20-mg-20-fctabs-1234-4b4a91.webp
astin 10 mg 20 f.c. tabs,حساسية,False,28.8,20,https://cdn.dawaagate.com/images/medicines/astin-10-mg-20-fc-tabs-1235-50c623.webp
allergyl 4 mg 20 tabs,حساسية,False,6.0,20,https://cdn.dawaagate.com/images/medicines/allergyl-4-mg-20-tabs-1274-af8507.webp
caftohist 0.25% eye drops 3 ml,حساسية,False,50.0,20,https://cdn.dawaagate.com/images/medicines/caftohist-025-eye-drops-3-ml-1365-912483.webp
alerid 10 mg 30 f.c.tabs,حساسية,False,63.0,20,https://cdn.dawaagate.com/images/medicines/alerid-10-mg-30-fctabs-1485-006603.webp
rhipgic 5 mg 30 f.c. tabs,حساسية,False,19.5,20,https://cdn.dawaagate.com/images/medicines/rhipgic-5-mg-30-fc-tabs-1744-0a4e6d.webp
telfast decongestant 60/120mg 10 ext. rel. tabs,حساسية,False,40.0,20,https://www.google.com/search?q=Telfast%20Decongestant%2060/120mg%2010%20ext.%20rel.%20tabs%20Egypt%20pharmacy&tbm=isch
skivalorine 2.5mg/5ml syrup 150ml,حساسية,False,13.5,20,https://www.google.com/search?q=Skivalorine%202.5mg/5ml%20syrup%20150ml%20Egypt%20pharmacy&tbm=isch
thyroxine 50mcg 100 tab,مزمن - غدة درقية,True,46.0,30,https://www.google.com/search?q=Thyroxine%2050mcg%20100%20tab%20Egypt%20pharmacy&tbm=isch
thyroxine 100mcg 100 tab,مزمن - غدة درقية,True,58.0,30,https://www.google.com/search?q=Thyroxine%20100mcg%20100%20tab%20Egypt%20pharmacy&tbm=isch
eltroxin 50mcg 100 tabs,مزمن - غدة درقية,True,78.0,30,https://www.google.com/search?q=Eltroxin%2050mcg%20100%20tabs%20Egypt%20pharmacy&tbm=isch
eltroxin 100 mcg 100 tabs,مزمن - غدة درقية,True,115.0,30,https://www.google.com/search?q=Eltroxin%20100%20mcg%20100%20tabs%20Egypt%20pharmacy&tbm=isch
Concor 5mg,مزمن - ضغط,True,85.0,30,https://www.google.com/search?q=Concor%205mg%20Egypt%20pharmacy&tbm=isch
Amlopres 5mg,مزمن - ضغط,True,45.0,30,https://www.google.com/search?q=Amlopres%205mg%20Egypt%20pharmacy&tbm=isch
Diovan 80mg,مزمن - ضغط,True,150.0,30,https://www.google.com/search?q=Diovan%2080mg%20Egypt%20pharmacy&tbm=isch
Norvasc 5mg,مزمن - ضغط,True,60.0,30,https://www.google.com/search?q=Norvasc%205mg%20Egypt%20pharmacy&tbm=isch
Capoten 25mg,مزمن - ضغط,True,35.0,30,https://www.google.com/search?q=Capoten%2025mg%20Egypt%20pharmacy&tbm=isch
Glucophage 500mg,مزمن - سكر,True,40.0,30,https://www.google.com/search?q=Glucophage%20500mg%20Egypt%20pharmacy&tbm=isch
Glucomin 500mg,مزمن - سكر,True,35.0,30,https://www.google.com/search?q=Glucomin%20500mg%20Egypt%20pharmacy&tbm=isch
Galvus Met 50/1000mg,مزمن - سكر,True,220.0,30,https://www.google.com/search?q=Galvus%20Met%2050/1000mg%20Egypt%20pharmacy&tbm=isch
Amaryl 2mg,مزمن - سكر,True,90.0,30,https://www.google.com/search?q=Amaryl%202mg%20Egypt%20pharmacy&tbm=isch
Diamicron MR 60mg,مزمن - سكر,True,110.0,30,https://www.google.com/search?q=Diamicron%20MR%2060mg%20Egypt%20pharmacy&tbm=isch
Lipitor 20mg,مزمن - كوليسترول,True,130.0,30,https://www.google.com/search?q=Lipitor%2020mg%20Egypt%20pharmacy&tbm=isch
Crestor 10mg,مزمن - كوليسترول,True,160.0,30,https://www.google.com/search?q=Crestor%2010mg%20Egypt%20pharmacy&tbm=isch
Panadol Extra,مسكنات,False,20.0,10,https://www.google.com/search?q=Panadol%20Extra%20Egypt%20pharmacy&tbm=isch
Bi Alcofan,مسكنات,False,30.0,10,https://www.google.com/search?q=Bi%20Alcofan%20Egypt%20pharmacy&tbm=isch
Cataflam 50mg,مسكنات,False,25.0,10,https://www.google.com/search?q=Cataflam%2050mg%20Egypt%20pharmacy&tbm=isch
Brufen 400mg,مسكنات,False,22.0,10,https://www.google.com/search?q=Brufen%20400mg%20Egypt%20pharmacy&tbm=isch
Amoclan 1g,مضاد حيوي,False,65.0,7,https://www.google.com/search?q=Amoclan%201g%20Egypt%20pharmacy&tbm=isch
Augmentin 1g,مضاد حيوي,False,90.0,7,https://www.google.com/search?q=Augmentin%201g%20Egypt%20pharmacy&tbm=isch
Zinnat 500mg,مضاد حيوي,False,110.0,7,https://www.google.com/search?q=Zinnat%20500mg%20Egypt%20pharmacy&tbm=isch
Rani 150mg,جهاز هضمي,False,15.0,15,https://www.google.com/search?q=Rani%20150mg%20Egypt%20pharmacy&tbm=isch
Motilium 10mg,جهاز هضمي,False,30.0,15,https://www.google.com/search?q=Motilium%2010mg%20Egypt%20pharmacy&tbm=isch
Nexium 40mg,جهاز هضمي,False,95.0,20,https://www.google.com/search?q=Nexium%2040mg%20Egypt%20pharmacy&tbm=isch
Cal-D-Vita,فيتامينات,False,65.0,30,https://www.google.com/search?q=Cal-D-Vita%20Egypt%20pharmacy&tbm=isch
Bio Vit-C 1000mg,فيتامينات,False,55.0,30,https://www.google.com/search?q=Bio%20Vit-C%201000mg%20Egypt%20pharmacy&tbm=isch
Feroglobin,فيتامينات - حديد,False,120.0,30,https://www.google.com/search?q=Feroglobin%20Egypt%20pharmacy&tbm=isch
Omega Life 3,فيتامينات,False,140.0,30,https://www.google.com/search?q=Omega%20Life%203%20Egypt%20pharmacy&tbm=isch
Coldrex,نزلات برد,False,25.0,10,https://www.google.com/search?q=Coldrex%20Egypt%20pharmacy&tbm=isch
Comtrex,نزلات برد,False,28.0,10,https://www.google.com/search?q=Comtrex%20Egypt%20pharmacy&tbm=isch
Zyrtec 10mg,حساسية,False,45.0,20,https://www.google.com/search?q=Zyrtec%2010mg%20Egypt%20pharmacy&tbm=isch
